,Zip_simple,tot_accidents
870,78757,978
871,20109,978
872,78722,978
873,34684,976
874,46226,975
875,32818,975
876,10472,974
877,91739,974
878,77043,973
879,91206,972
880,46250,972
881,14623,972
882,73111,971
883,92707,969
884,29078,968
885,79905,968
886,11377,968
887,94550,967
888,98006,967
889,95827,966
890,11373,965
891,38119,965
892,30297,964
893,97850,963
894,55420,963
895,95401,962
896,19131,961
897,90047,961
898,79938,959
899,10710,959
900,33612,958
901,98055,957
902,30144,956
903,94564,956
904,73134,956
905,70791,956
906,29576,954
907,45404,954
908,30096,953
909,92054,952
910,22202,951
911,46203,951
912,73106,950
913,34221,950
914,89512,949
915,94112,949
916,29678,949
917,53214,949
918,84660,948
919,85308,948
920,55425,947
921,10536,946
922,91390,945
923,94954,944
924,35801,942
925,97413,942
926,68144,941
927,48208,940
928,34787,940
929,17331,940
930,29715,937
931,77033,937
932,55454,936
933,22031,935
934,29461,935
935,91910,934
936,90604,934
937,55419,931
938,91607,931
939,92706,930
940,32209,927
941,84107,925
942,93637,924
943,29212,923
944,23222,923
945,95351,923
946,55128,921
947,78747,919
948,49505,919
949,29617,918
950,29506,918
951,77015,917
952,33401,917
953,85301,917
954,43232,916
955,55438,916
956,95624,915
957,97214,915
958,91010,915
959,80211,911
960,29108,909
961,84098,908
962,48066,908
963,91754,907
964,97703,907
965,19468,906
966,85719,906
967,23060,905
968,66203,904
969,75230,904
970,48377,904
971,78721,903
972,85711,903
973,93117,902
974,94085,901
975,78249,899
976,94509,898
977,68131,898
978,85016,898
979,91762,897
980,29801,897
981,10960,895
982,55369,894
983,21704,893
984,94621,893
985,60189,893
986,20817,892
987,78717,892
988,73116,891
989,63122,888
990,70126,886
991,19038,886
992,84074,885
993,02860,885
994,91203,884
995,91423,884
996,92562,884
997,46218,883
998,91604,883
999,55125,883
1000,48223,881
1001,48430,880
1002,20020,878
1003,21701,878
1004,37072,877
1005,27597,874
1006,34207,874
1007,21703,873
1008,94015,872
1009,95838,872
1010,60018,872
1011,32835,872
1012,29307,872
1013,48235,872
1014,97058,871
1015,94404,871
1016,07032,871
1017,10457,870
1018,76011,869
1019,45406,867
1020,48034,866
1021,94583,864
1022,48433,864
1023,91504,862
1024,55311,861
